"Parts List","","","",""
"Item","Qty","Part Number","Description","Material"
"1","1","Idler X Bracket A","","PLA or PETG"
"2","1","GT2 Pulley 20T","Thoothed Pulley","Aluminum"
"3","1","GT2 Pulley 20NT","Smooth Pulley","Aluminum"
"4","1","M5x20 HEX","","Stainless Steel"
"5","1","M5x30 HEX","","Stainless Steel"
"6","2","M5 LOCK NUT","","Stainless Steel"
"7","4","M5 8OD WASHER","","Copper"
"8","2","M4 WASHER","","Stainless Steel"
"9","2","M4x10","","Stainless Steel"
